learning_rate,num_steps,beta1,beta2,beta3,hidden_1,hidden_2,hidden_3,input_dim,test_rmse_score,test_r2_score,hidden_4
0.1,49500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.08760528922652587,0.9492242929013616,
0.1,9500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.15908870862109514,0.8325542852569913,
0.1,29500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.09328060475511364,0.9424324123872638,
0.1,29500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.12796898184835204,0.8689350475309474,
0.1,9500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.11763696301495145,0.8892446399970552,
0.1,9500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.10406804568524687,0.9283477021743326,
0.1,9500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.1036771695843096,0.9288849386260132,
0.1,9500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.10349374442920196,0.9291363488885876,
0.1,9500.0,0.1,0.0,0.0,16.0,8.0,4.0,403.0,0.1037753988496562,0.9364545727422208,
0.1,26000.0,0.1,0.0,0.0,200.0,100.0,50.0,403.0,0.11222077670299216,0.9256908964503447,
0.1,26000.0,0.1,0.0,0.0,200.0,100.0,50.0,403.0,0.11116864220388754,0.9270777459726558,12.0
0.1,26000.0,0.1,0.0,0.0,200.0,100.0,50.0,403.0,0.11116864220388754,0.9270777459726558,12.0
